BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,PAY_MTD_CDE,PAY_AMT,IS_MEMBER,LC_OCT_ID
A003,7696,2014/7/2,1,OC,24.5,Y,54624
A004,7506,2014/7/2,1,OC,20,Y,54692
A004,7507,2014/7/2,1,VH,10,Y,54692
A004,7507,2014/7/2,2,OC,11,Y,54692
A004,12222,2014/7/3,1,OC,21,Y,54692
A004,102,2014/7/3,1,VH,5,Y,54692
A004,102,2014/7/3,2,OC,21,Y,54692
A004,106,2014/7/3,1,CA,100,Y,54692
A004,13914,2014/7/5,1,VH,10,Y,54692
A004,13914,2014/7/5,2,OC,10,Y,54692
A004,13922,2014/7/5,1,VH,10,Y,54692
A004,13922,2014/7/5,2,OC,12.5,Y,54692
A004,15881,2014/7/8,1,OC,18,Y,54692
A004,16186,2014/7/9,1,OC,20,Y,54692
A004,13811,2014/7/16,1,OC,21,Y,54692
A004,13812,2014/7/16,1,OC,20,Y,54692
A004,13813,2014/7/16,1,CA,100,Y,54692
A004,13820,2014/7/16,1,VH,5,Y,54692
A004,13820,2014/7/16,2,OC,21,Y,54692
A004,15658,2014/7/17,1,VH,10,Y,54692
A004,15658,2014/7/17,2,OC,23,Y,54692
A004,15278,2014/7/17,1,OC,20,Y,54692
A004,15279,2014/7/17,1,OC,18,Y,54692
A004,15280,2014/7/17,1,CA,100,Y,54692
A004,16030,2014/7/18,1,OC,21,Y,54692
A004,16031,2014/7/18,1,OC,21,Y,54692
A004,16035,2014/7/18,1,VH,5,Y,54692
A004,16035,2014/7/18,2,OC,26,Y,54692
A004,13151,2014/7/4,1,OC,21,Y,54692
A004,5824,2014/7/8,1,VH,10,Y,54692
A004,5824,2014/7/8,2,OC,23,Y,54692
A004,6741,2014/7/9,1,OC,20,Y,54692
A004,6743,2014/7/9,1,CA,100,Y,54692
A004,105,2014/7/3,1,OC,18,Y,54692
A004,13915,2014/7/5,1,CA,100,Y,54692
A004,6742,2014/7/9,1,OC,20,Y,54692
A001,11534,2014/7/21,1,OC,68,N,54738
A001,10637,2014/7/7,1,OC,50.5,N,54738
A001,13107,2014/7/11,1,OC,22.5,N,54742
A001,15846,2014/7/15,1,OC,25,N,54742
A001,3373,2014/7/4,1,OC,28,N,54742
A001,7400,2014/7/27,1,OC,29,N,54742
A001,13909,2014/7/25,1,OC,25,N,54742
A001,12296,2014/7/23,1,OC,24,N,54742
A001,11759,2014/7/22,1,OC,32,N,54742
A001,10055,2014/7/19,1,OC,25,N,54742
A001,17142,2014/7/17,1,OC,25,N,54742
A001,7244,2014/7/10,1,OC,29,N,54742
A001,11507,2014/7/9,1,OC,28.5,N,54742
A001,6647,2014/7/8,1,OC,29,N,54742
A001,16969,2014/7/3,1,OC,28,N,54742
A003,1882,2014/7/20,2,OC,27,Y,54748
A003,1882,2014/7/20,1,VH,5,Y,54748
A002,2037,2014/7/1,1,OC,19,Y,54782
A002,3973,2014/7/3,1,VH,10,Y,54782
A002,3973,2014/7/3,2,OC,23,Y,54782
A002,15672,2014/7/4,1,OC,20,Y,54782
A002,16701,2014/7/5,1,VH,5,Y,54782
A002,16701,2014/7/5,2,OC,19.5,Y,54782
A002,3973,2014/7/3,1,VH,10,Y,54782
A002,3973,2014/7/3,2,OC,23,Y,54782
A002,8527,2014/7/7,1,OC,20,Y,54782
