BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,TX_DT,SI_DEP_CDE,SI_NO,UNIT_PRICE,QTY,SLS_PRICE,NET_TOTAL,TAKEOUT,LC_OCT_ID
A001,1969,2014/7/1,2,14:37:24,20,S8NF50,0,2,0,107.5,N,55816
A001,1969,2014/7/1,5,14:37:24,20,S8N041,0,1,0,107.5,N,55816
A001,1969,2014/7/1,6,14:37:24,18,S8K001,0,1,0,107.5,N,55816
A001,1969,2014/7/1,8,14:37:24,20,S8N200,0,1,0,107.5,N,55816
A001,1969,2014/7/1,10,14:37:24,7,S13613,24,1,24,107.5,N,55816
A001,1969,2014/7/1,7,14:37:24,12,S18126,23,1,23,107.5,N,55816
A001,1969,2014/7/1,4,14:37:24,8,S14237,20,1,20,107.5,N,55816
A001,1969,2014/7/1,1,14:37:24,8,S14237,20,2,40,107.5,N,55816
A001,1969,2014/7/1,3,14:37:24,18,S8D005,0,2,0,107.5,N,55816
A001,1969,2014/7/1,9,14:37:24,18,S8D004,0,1,0,107.5,N,55816
A001,1969,2014/7/1,11,14:37:24,18,S8D000,0,1,0,107.5,N,55816
A001,1976,2014/7/1,1,14:39:25,12,S18127,23,1,23,23,N,56238
A001,1976,2014/7/1,2,14:39:25,20,S8N200,0,1,0,23,N,56238
A001,1976,2014/7/1,3,14:39:25,18,S8D006,0,1,0,23,N,56238
A001,15934,2014/7/1,2,8:12:07,20,S8NE35,0,1,0,28,N,57410
A001,15934,2014/7/1,1,8:12:07,2,S10470,24,1,24,28,N,57410
A001,15934,2014/7/1,4,8:12:07,17,S8M115,4,1,4,28,N,57410
A001,15934,2014/7/1,3,8:12:07,18,S8D000,0,1,0,28,N,57410
A001,15962,2014/7/1,1,8:23:18,2,S11005,18,1,18,18,N,56340
A001,15962,2014/7/1,2,8:23:18,18,S8D000,0,1,0,18,N,56340
A001,15963,2014/7/1,1,8:23:34,,TEST,100,1,100,100,N,56340
A001,16006,2014/7/1,2,8:37:51,20,S8NE35,0,1,0,31,Y,54950
A001,16006,2014/7/1,4,8:37:51,17,S8M252,4,1,4,31,Y,54950
A001,16006,2014/7/1,1,8:37:51,2,S10471,24,1,24,31,Y,54950
A001,16006,2014/7/1,3,8:37:51,,S8D041,3,1,3,31,Y,54950
A001,16151,2014/7/1,1,10:16:56,2,S11005,18,1,18,22,N,56186
A001,16151,2014/7/1,3,10:16:56,17,S8M118,4,1,4,22,N,56186
A001,16151,2014/7/1,2,10:16:56,18,S8D000,0,1,0,22,N,56186
A001,2488,2014/7/2,1,14:08:07,7,S14766,19,1,19,19,N,56340
A001,2488,2014/7/2,2,14:08:07,18,S8D000,0,1,0,19,N,56340
A001,16352,2014/7/2,1,7:44:19,,TEST,100,1,100,100,N,54950
A001,16354,2014/7/2,3,7:44:49,20,S8NE35,0,1,0,27,Y,54950
A001,16354,2014/7/2,2,7:44:49,20,S8NA01,0,1,0,27,Y,54950
A001,16354,2014/7/2,1,7:44:49,2,S10470,24,1,24,27,Y,54950
A001,16354,2014/7/2,4,7:44:49,,S8D041,3,1,3,27,Y,54950
A001,16443,2014/7/2,1,8:35:17,2,S10460,24,1,24,24,N,56340
A001,16443,2014/7/2,2,8:35:17,20,S8NE35,0,1,0,24,N,56340
A001,16443,2014/7/2,3,8:35:17,18,S8D000,0,1,0,24,N,56340
A001,16615,2014/7/2,3,10:14:01,20,S8NF50,0,1,0,20,N,56186
A001,16615,2014/7/2,2,10:14:01,20,S8NE35,0,1,0,20,N,56186
A001,16615,2014/7/2,1,10:14:01,3,S10998,20,1,20,20,N,56186
A001,16615,2014/7/2,4,10:14:01,18,S8D000,0,1,0,20,N,56186
A001,16856,2014/7/2,1,13:14:13,12,S07634,32,1,32,32,N,56340
A001,16856,2014/7/2,3,13:14:13,18,S8D054,0,1,0,32,N,56340
A001,16856,2014/7/2,4,13:14:13,18,S8D283,0,1,0,32,N,56340
A001,16856,2014/7/2,2,13:14:13,18,S8Z004,0,1,0,32,N,56340
A001,16969,2014/7/3,1,7:46:06,2,S10488,24,1,24,28,N,54742
A001,16969,2014/7/3,2,7:46:06,20,S8NE35,0,1,0,28,N,54742
A001,16969,2014/7/3,4,7:46:06,17,S8M118,4,1,4,28,N,54742
A001,16969,2014/7/3,3,7:46:06,18,S8D000,0,1,0,28,N,54742
A001,16975,2014/7/3,2,7:50:06,20,S8NE35,0,1,0,31,Y,54950
A001,16975,2014/7/3,4,7:50:06,17,S8M252,4,1,4,31,Y,54950
A001,16975,2014/7/3,1,7:50:06,2,S10471,24,1,24,31,Y,54950
A001,16975,2014/7/3,3,7:50:06,,S8D038,3,1,3,31,Y,54950
A001,16976,2014/7/3,2,7:50:17,20,S8NE35,0,1,0,27,Y,54950
A001,16976,2014/7/3,1,7:50:17,2,S10470,24,1,24,27,Y,54950
A001,16976,2014/7/3,3,7:50:17,,S8D041,3,1,3,27,Y,54950
A001,17062,2014/7/3,1,8:33:29,2,S11006,18,1,18,18,N,56340
A001,17062,2014/7/3,2,8:33:29,18,S8D000,0,1,0,18,N,56340
A001,17063,2014/7/3,1,8:33:43,,TEST,100,2,200,200,N,56340
A001,17064,2014/7/3,4,8:34:27,18,S8D281,0,1,0,26,N,55870
A001,17064,2014/7/3,3,8:34:27,,S8D038,3,1,3,26,N,55870
A001,17064,2014/7/3,2,8:34:27,20,S8N249,0,1,0,26,N,55870
A001,17064,2014/7/3,1,8:34:27,3,S10962,23,1,23,26,N,55870
A001,17257,2014/7/3,3,10:40:07,20,S8NF50,0,1,0,20,N,56186
A001,17257,2014/7/3,2,10:40:07,20,S8NE35,0,1,0,20,N,56186
A001,17257,2014/7/3,1,10:40:07,3,S10998,20,1,20,20,N,56186
A001,17257,2014/7/3,4,10:40:07,18,S8D002,0,1,0,20,N,56186
A001,17436,2014/7/3,1,13:02:00,5,S12729,35,1,35,35,N,56238
A001,17436,2014/7/3,2,13:02:00,20,S8NG62,0,1,0,35,N,56238
A001,17436,2014/7/3,3,13:02:00,18,S8D008,0,1,0,35,N,56238
A001,17460,2014/7/3,1,13:16:50,12,S07634,32,1,32,32,N,56340
A001,17460,2014/7/3,3,13:16:50,18,S8D054,0,1,0,32,N,56340
A001,17460,2014/7/3,4,13:16:50,18,S8D283,0,1,0,32,N,56340
A001,17460,2014/7/3,2,13:16:50,18,S8Z004,0,1,0,32,N,56340
A001,3336,2014/7/4,1,7:29:56,,TEST,100,1,100,100,N,54950
A001,3337,2014/7/4,2,7:30:18,20,S8NE35,0,1,0,31,Y,54950
A001,3337,2014/7/4,5,7:30:18,17,S8M252,4,1,4,31,Y,54950
A001,3337,2014/7/4,4,7:30:18,18,S8D283,0,1,0,31,Y,54950
A001,3337,2014/7/4,1,7:30:18,2,S10471,24,1,24,31,Y,54950
A001,3337,2014/7/4,3,7:30:18,,S8D038,3,1,3,31,Y,54950
A001,3373,2014/7/4,1,7:56:39,2,S10484,24,1,24,28,N,54742
A001,3373,2014/7/4,4,7:56:39,17,S8M252,4,1,4,28,N,54742
A001,3373,2014/7/4,2,7:56:39,20,S8N062,0,1,0,28,N,54742
A001,3373,2014/7/4,3,7:56:39,18,S8D000,0,1,0,28,N,54742
A001,3407,2014/7/4,1,8:17:24,2,S10536,21,1,21,21.5,N,56340
A001,3407,2014/7/4,2,8:17:24,18,S8D000,0,1,0,21.5,N,56340
A001,3528,2014/7/4,2,9:09:59,20,S8NF50,0,1,0,23,Y,56340
A001,3528,2014/7/4,1,9:09:59,3,S10963,23,1,23,23,Y,56340
A001,3528,2014/7/4,3,9:09:59,18,S8D000,0,1,0,23,Y,56340
A001,3644,2014/7/4,1,10:20:39,2,S10536,21,1,21,21.5,N,56186
A001,3644,2014/7/4,2,10:20:39,18,S8D002,0,1,0,21.5,N,56186
A001,3854,2014/7/4,3,13:18:29,18,S8D054,0,1,0,34,N,56340
A001,3854,2014/7/4,4,13:18:29,18,S8D283,0,1,0,34,N,56340
A001,3854,2014/7/4,2,13:18:29,18,S8Z004,0,1,0,34,N,56340
A001,3854,2014/7/4,1,13:18:29,4,S01640,34,1,34,34,N,56340
A001,3909,2014/7/4,2,14:00:13,18,S8D054,0,1,0,20,N,56340
A001,3909,2014/7/4,1,14:00:13,7,S13683,20,1,20,20,N,56340
A001,4202,2014/7/4,1,19:17:51,,TEST,100,2,200,200,N,57410
A001,4207,2014/7/4,4,19:20:45,12,S8N005,0,1,0,47,N,57410
A001,4207,2014/7/4,5,19:20:45,18,S8D063,0,1,0,47,N,57410
A001,4207,2014/7/4,3,19:20:45,12,S8N002,0,1,0,47,N,57410
A001,4207,2014/7/4,2,19:20:45,20,S8NH30,0,1,0,47,N,57410
A001,4207,2014/7/4,1,19:20:45,10,S15823,47,1,47,47,N,57410
A001,4208,2014/7/4,3,19:21:04,18,S8D282,0,1,0,43,N,57410
A001,4208,2014/7/4,1,19:21:04,10,S16933,43,1,43,43,N,57410
A001,4208,2014/7/4,2,19:21:04,18,S8D055,0,1,0,43,N,57410
A001,4437,2014/7/5,2,14:46:54,18,S8K001,0,1,0,22,Y,56238
A001,4437,2014/7/5,1,14:46:54,7,S14885,22,1,22,22,Y,56238
A001,4635,2014/7/5,3,18:22:22,18,S8D063,0,1,0,46,N,57410
A001,4635,2014/7/5,1,18:22:22,10,S17035,46,1,46,46,N,57410
A001,4635,2014/7/5,2,18:22:22,20,S8NH30,0,1,0,46,N,57410
A001,4777,2014/7/5,3,20:24:57,18,S8D063,0,1,0,46,N,56014
A001,4777,2014/7/5,1,20:24:57,10,S17031,46,1,46,46,N,56014
A001,4777,2014/7/5,2,20:24:57,20,S8NH30,0,1,0,46,N,56014
A001,17615,2014/7/5,1,8:20:55,2,S11006,18,1,18,18,N,56340
A001,17615,2014/7/5,2,8:20:55,18,S8D000,0,1,0,18,N,56340
A001,17714,2014/7/5,1,9:07:46,2,S10484,24,1,24,28,Y,56340
A001,17714,2014/7/5,2,9:07:46,20,S8NE35,0,1,0,28,Y,56340
A001,17714,2014/7/5,4,9:07:46,17,S8M252,4,1,4,28,Y,56340
A001,17714,2014/7/5,3,9:07:46,18,S8D000,0,1,0,28,Y,56340
A001,17715,2014/7/5,1,9:07:52,,TEST,100,2,200,200,N,56340
A001,18090,2014/7/5,1,13:25:06,12,S07634,32,1,32,32,N,56340
A001,18090,2014/7/5,3,13:25:06,18,S8D054,0,1,0,32,N,56340
A001,18090,2014/7/5,4,13:25:06,18,S8D283,0,1,0,32,N,56340
A001,18090,2014/7/5,2,13:25:06,18,S8Z004,0,1,0,32,N,56340
A001,18098,2014/7/5,1,13:28:06,4,S01892,30,1,30,30,N,56340
A001,18098,2014/7/5,3,13:28:06,18,S8D054,0,1,0,30,N,56340
A001,18098,2014/7/5,4,13:28:06,18,S8D283,0,1,0,30,N,56340
A001,18098,2014/7/5,2,13:28:06,18,S8Z004,0,1,0,30,N,56340
A001,4956,2014/7/6,3,10:32:21,20,S8NF50,0,1,0,20,N,56186
A001,4956,2014/7/6,2,10:32:21,20,S8NE35,0,1,0,20,N,56186
A001,4956,2014/7/6,1,10:32:21,3,S10998,20,1,20,20,N,56186
A001,4956,2014/7/6,4,10:32:21,18,S8D002,0,1,0,20,N,56186
A001,5617,2014/7/6,1,21:14:34,10,S15933,39,1,39,39,N,54950
