Age,Months_as_a_Customer,Number_of_Products,RFM_Score,Average_Balance_Feed_Index,Number_of_Transactions,Personal_Debt_to_Equity_Ratio,Months_Current_Account,Number_of_Loan_Accounts,Customer_ID,Has_Bad_Payment_Record,Members_Within_Household,Number_of_Call_Center_Contacts,Gender,Marital_Status,Age_Youngest_Child,Number_of_Workers_in_Household,Percentage_White_Collar_Workers,Household_Debt_to_Equity_Ratio,Income,Weeks_Since_Last_Offer,Homeowner,Accepted_Personal_Loan,Accepted_Retention,Accepted_Home_Equity_Loan,Accepted_Credit_Card,Annual_value,Interested_in_Personal_Loan,Interested_in_Retention,Interested_in_Home_Equity_Loan,Interested_in_Credit_Card
40,24,3,9.82899,229,2,40,13,0,5409,0,5,9,F,S,11,6,37,56,37073,17,F,F,F,F,F,90,F,F,F,F
47,12,2,11.80799,8,1,47,5,2,5477,0,4,9,M,M,13,13,30,56,50721,22,F,F,F,F,F,260,F,F,F,F
35,36,0,0,0,0,35,31,0,5507,0,4,0,F,U,1,9,33,57,43578,27,T,F,F,T,T,0,F,F,T,F
45,0,0,0,0,0,45,-3,0,8,0,1,11,M,U,15,7,30,62,69553,51,F,F,F,F,F,0,F,T,F,F
13,48,0,0,0,0,13,39,0,158,0,6,11,F,S,0,7,27,64,37502,8,T,F,F,F,F,0,F,F,T,F
45,12,2,11.819,119,1,45,6,3,173,0,5,9,F,S,14,10,28,60,34722,32,F,T,F,F,F,360,F,T,F,F
40,12,0,0,0,0,40,5,0,5408,0,4,7,M,U,7,10,40,48,56607,16,F,F,F,F,F,0,F,F,T,F
36,36,0,0,0,0,36,28,0,5579,0,1,8,F,S,7,4,36,58,55328,21,F,F,F,T,F,0,F,F,F,F
26,12,1,7.879,179,1,26,8,0,5695,0,5,10,M,S,0,15,31,52,42752,34,F,F,F,F,F,30,F,F,F,T
33,36,2,9.91999,120,1,33,25,1,5732,0,5,9,M,S,2,12,29,57,71450,46,T,F,F,F,F,160,F,F,T,F
