custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,1,2,1,20,2,September,15,3,1,1,0,1,0,31,3.43398720448515,2,11.1,1.200909,.183078770035633,2.240091,.806516490041776,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.3,1,0,0,8,4,22,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,5,81.66,4,67.8,0,3,5,1,6.5,1.87180217690159,34.4,3.53805656437935,1,29,3.36729582998647,161.05,5.08171487577721,1,29.5,3.38439026334577,126.1,4.83707524297087,1,14.25,2.65675690671466,60,4.0943445622221,0,0, ,0, ,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0
0648-AIPJSP-UVM,5,5,0,22,2,May,17,4,2,0,0,1,0,15,2.70805020110221,1,18.6,1.22202,.200505227227583,1.56798,.449788166744828,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.8,1,0,0,1,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,5,42.6,2,34.94,1,1,39,0,8.9,2.18605127673809,330.6,5.80090918538692,0,0, ,0, ,1,54.85,4.00460218672124,1975,7.58832367733522,1,16,2.77258872223978,610,6.41345895716736,1,45.65,3.82100360704098,1683.55,7.42865993818979,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0
5195-TLUDJE-HVO,3,4,1,67,6,June,14,2,2,0,16,5,0,35,3.55534806148941,2,9.9,.92862,-.0740556658294137,2.53638,.930737867621041,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.8,1,0,1,4,3,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,9,184.22,7,175.75,0,3,65,0,28.4,3.34638914516716,1858.35,7.52744427622986,0,0, ,0, ,0,0, ,0, ,1,23,3.13549421592915,1410,7.25134498337221,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0
4459-VLPQUH-3OL,4,3,0,23,2,May,16,3,2,0,0,1,0,20,2.99573227355399,1,5.7,.0228,-3.78099474302174,1.1172,.110825555088885,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.7,1,0,1,1,1,38,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,17,340.99,1,18.42,1,1,36,0,6,1.79175946922806,199.45,5.29556357835142,0,0, ,0, ,0,0, ,0, ,1,21,3.04452243772342,685,6.52941883826223,0,0, ,0, ,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0
8158-SMTQFB-CNO,2,2,0,26,3,July,16,3,2,0,1,1,0,23,3.13549421592915,1,1.7,.214659,-1.53870455646938,.176341,-1.73533565847623,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.6,1,0,1,6,3,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,8,255.1,7,252.73,1,3,21,0,3.05,1.11514159061932,74.1,4.30541553230204,1,16.5,2.80336038090653,387.7,5.96023184467688,0,0, ,0, ,1,17.25,2.84781214347737,360,5.88610403145016,1,19.05,2.94706710157271,410.8,6.0181064780544,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0
9662-FUSYIM-1IV,4,4,0,64,5,August,17,4,3,0,22,5,0,107,4.67282883446191,4,5.6,1.060584,.0588196998066104,4.931416,1.59562616790985,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1,-1,-1,0,8,4,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,11,228.27,0,0,0,3,28,0,8.1,2.09186406167839,264.9,5.57935239627802,1,26.75,3.28653447334202,726.6,6.5883761197871,1,35.5,3.56953269648137,970.95,6.87827497365963,1,28.25,3.34109345759245,765,6.63987583382654,0,0, ,0, ,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0
7432-QKQFJJ-K72,2,5,1,52,5,July,14,2,1,0,10,3,0,77,4.34380542185368,4,1.9,.501809,-.68953570977821,.961191,-.0395821384595394,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.6,2,1,0,4,3,32,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,20,822.32,5,130.14,0,2,15,0,3.8,1.33500106673234,44.8,3.80220813942094,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0
8959-RZWRHU-ST8,3,4,1,44,4,October,16,3,1,0,11,4,0,97,4.57471097850338,4,14.4,5.950368,1.78345306638448,8.017632,2.08164311643468,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.5,3,0,1,5,3,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,6,592.7,7,712.1,0,3,46,0,14.85,2.69799986524871,612.7,6.41787541973161,1,24,3.17805383034795,1110.4,7.01247558975254,0,0, ,0, ,1,14.5,2.67414864942653,630,6.44571981938558,0,0, ,0, ,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0
9124-DZALHM-S6I,2,3,1,66,6,October,12,2,1,0,15,4,1,16,2.77258872223978,1,2.6,.102336,-2.27949376177065,.313664,-1.15943292969505,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.6,1,0,0,4,3,25,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,12,326.59,6,141.24,1,3,53,0,21.05,3.04690056012839,1074.35,6.97947110652374,0,0, ,0, ,0,0, ,0, ,1,15.5,2.7408400239252,830,6.72142570079064,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0
3512-MUWBGY-52X,2,2,0,47,4,July,11,1,6,0,19,5,0,84,4.43081679884331,4,4.1,1.770216,.571101573038512,1.673784,.515086931483841,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41,3,1,0,1,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,11,199.64,5,111.17,1,3,3,1,3.65,1.2947271675944,20.05,2.99822915375258,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0
